lib/size, parse, write
___memcpy_data-common, 35, 107
rapidjson_data-common, 834, 1002
__libjson_data-common, 4980, 1532
__jsoncpp_data-common, 5396, 2983
___memcpy_data-_5k, 68, 117
rapidjson_data-_5k, 850, 1336
__libjson_data-_5k, 4170, 1078
__jsoncpp_data-_5k, 4181, 2540
___memcpy_data-08k, 20, 92
rapidjson_data-08k, 611, 798
__libjson_data-08k, 3981, 986
__jsoncpp_data-08k, 3949, 2056
___memcpy_data-32k, 28, 91
rapidjson_data-32k, 599, 838
__libjson_data-32k, 4018, 1005
__jsoncpp_data-32k, 3871, 2079
___memcpy_data-99k, 26, 96
rapidjson_data-99k, 633, 866
__libjson_data-99k, 4521, 1328
__jsoncpp_data-99k, 4249, 2270
